material,bg_hse06 (eV),bg_pbesol (eV),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,IP (eV),EA (eV),r_cov (AA),EN (Pauling),N_val,N_unf,max_OS,stdev_OS,lat_a (AA),lat_b (AA),lat_c (AA),std_charge,min_dist (AA),cbm (eV),vbm (eV),e_fermi (eV),skew_dos,kurt_dos
NaH9O5,6.66095989,4.89993162,0.583016666666667,0.573083333333333,-9.54249533962732,1.91402933459578,4,13.0410175571545,0.976322316666666,0.516666666666667,2.52866666666667,2.66666666666667,1.33333333333333,1,1.95283366471236,6.69245909000032,5.85152904463404,12.2277349189259,0.186671955703139,0.73061493,-3.56496532,-8.46489694,-6.01493113,6.48107159695882,85.1499851932549
MoH4O3,1.72126267,0.99588002,0.6259875,0.5132,-9.57356875631449,1.82565500120416,8.75,12.792541674851,1.0186297375,0.595,2.66,3.5,2,2,2.05195670417031,8.29054242384209,8.29343273051545,8.31861168002343,0.298760930143602,0.95215457,-3.81903796,-4.81491797,-4.31697797,2.48179997162523,10.3339801471384
Sr5Nb4O15,3.88717524,2.5966666,0.964754166666667,0.809295833333333,-9.23516500609128,1.67699583443944,19.75,10.82419009375,1.0769390625,1.09208333333333,2.61458333333333,5,2.41666666666667,5,3.73302610102953,9.77974766966897,5.64621560000001,11.44103933332,0.494830860250716,1.49346802,-6.3144588,-8.9111254,-7.6127921,1.09897257783,1.02346383882407
Zn2Mo3O8,2.93815885,1.70282059,0.808711538461539,0.602780769230769,-9.6659376986831,1.72745923190862,19.2307692307692,11.4623172307692,0.976217876923077,0.949230769230769,2.86923076923077,6.92307692307692,2.61538461538462,6,3.56779577143461,5.75372320478143,5.75372323076164,9.91157397000001,0.41680371806433,1.94182153,-4.97876184,-6.68158243,-5.02026837,2.17782891532604,7.59024100220639
Al2Ge2O7,5.37090954,3.4766688,0.661695454545455,0.745040909090909,-11.3255836438337,1.35152818270962,13.2727272727273,11.1906175454545,1.23261453872727,0.858181818181818,2.84727272727273,6.90909090909091,2.90909090909091,4,3.6614546289692,5.29176050685877,5.29176050685529,9.74975593883282,0.412003976122686,1.69592118,-5.06324649,-8.53991529,-6.80158089,0.875143019267275,0.832219072315256
Sr5(AuO4)2,2.96368282,1.32432612,1.06533,1.04943666666667,-8.63711467236349,0.879132667246521,27.4666666666667,10.3913256833333,1.10442619333333,1.18333333333333,2.49,7.2,1.2,3,2.82038037408883,8.26530908115265,6.6829478810235,6.6829247230958,0.397244189190602,2.00154908,-7.29170153,-8.61602765,-7.95386459,1.53716880857017,4.69309781541909
H4S4N,1.12475546,0.81381537,0.623494444444444,0.663638888888889,-8.86204778362296,2.4340366682721,8.33333333333333,12.2631009332009,1.250756672,0.683333333333333,2.46222222222222,3.66666666666667,1.66666666666667,3,2.08166599946613,13.5815864947577,15.96894236605,17.9081089600568,0.106664720492708,0.9018,-4.31331053,-5.1271259,-4.72021821,2.53882069809124,14.5021758086939
Cs(CO)2,4.23827592,2.6831001,0.94235,0.93147,-10.5805320069787,0.017418000011489,16.6,10.730118345486,1.1836136148,1.056,2.554,4.2,2.6,0,0,6.52048524963235,6.52048535562587,4.74416473860159,0.252372041909085,1.25521545,-3.99647982,-6.67957992,-5.33802987,2.20532330891804,7.22970712350311
P4(SO2)3,5.01703268,3.7637901,0.640319230769231,0.687896153846154,-9.89145231421646,1.68557615495792,12,11.9027003076923,1.38341336430769,0.876153846153846,2.85692307692308,5.69230769230769,2.30769230769231,5,3.69921755595907,13.2606842943414,8.50762659,10.2080842426575,0.274695556438709,1.60098351,-3.24516619,-7.00895629,-5.12706124,13.4360019365552,319.524313736357
Li2PtO3,3.72928511,1.97002888,0.9906,0.86505,-8.17149167205637,0.691083333789155,18,10.0994041653333,1.29075322333333,0.983333333333333,2.42666666666667,7.33333333333333,1.66666666666667,4,2.86038776773678,5.20065770684195,5.20065695498724,5.06564202152159,0.334416115247875,1.97702663,-5.88584124,-7.85587012,-6.87085568,1.31115331419854,2.09337492357047
