material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Mg2CrNiO6,1.19608,1.35285,1.40325,1.35285,0.3919,1.26075,1.2756,1.26075,0.3892,-5.04225,-4.27756,-0.77042,0.33486,12,26,7.64624,7.20319,-0.42,0.9165,1.31,1.785,2,4,Mg,Cr,Ni,5.26,16.27
Nd2SbSbO6,0.77594,2.00295,1.01025,0.35015,1.23285,1.89905,0.99215,0.34865,1.18345,-3.25222,-6.0944,-1.29622,-3.07059,60,51,5.525,8.60839,0.09749,1.0474,1.14,2.05,3,3,Nd,Sb,Sb,6.83,8.93
Ba2CdCrO6,0.83961,2.20615,1.34795,2.20615,0.8434,2.07185,1.2767,2.07185,0.811,-3.35828,-5.34546,-1.33494,-0.80008,56,36,5.21166,7.88017,0.14463,-0.02208,0.89,1.675,2,4,Ba,Cd,Cr,3.58,12.875
Mg2CoRhO6,1.21814,1.35285,1.37665,1.35285,0.48295,1.26075,1.2787,1.26075,0.48125,-5.04225,-5.25322,-0.77042,-1.41035,12,36,7.64624,7.66996,-0.42,0.90258,1.31,2.08,2,4,Mg,Co,Rh,5.26,18.46
La2PtZrO6,0.98689,2.03235,1.52245,1.19775,0.7725,1.88385,1.3956,1.88385,0.74755,-3.5912,-4.89349,-1.49016,-2.83681,57,59,5.5769,7.79648,0.55755,1.2792,1.1,1.805,3,3,La,Pt,Zr,6.56,19.04
Ba2CoPbO6,0.81746,2.20615,1.1493,2.20615,0.88255,2.07185,1.1242,2.07185,0.8472,-3.35828,-8.75491,-1.33494,-1.1703,56,54.5,5.21166,7.64884,0.14463,0.50949,0.89,2.105,2,4,Ba,Co,Pb,3.58,11.48
Be2FeTiO6,1.33828,1.08065,1.4293,1.08065,0.45915,1.00365,1.3361,1.00365,0.4513,-6.07034,-4.78295,-1.4731,-1.11283,4,24,9.3227,7.36529,-0.52,0.11439,1.57,1.685,2,4,Be,Fe,Ti,6.02,12.645
Pr2PbTiO6,0.76372,2.02475,1.3233,0.36565,0.9766,1.89375,1.2617,0.36655,0.9304,-3.26203,-8.12279,-1.05666,-1.81006,59,52,5.4702,7.1224,0.10923,0.21613,1.13,1.935,4,2,Pr,Pb,Ti,6.38,10.375
Mg2AlVO6,1.23146,1.35285,1.315,1.35285,0.95405,1.26075,1.24695,1.26075,0.76875,-5.04225,-6.05368,-0.77042,-1.4768,12,18,7.64624,6.36598,-0.42,0.48025,1.31,1.62,2,4,Mg,Al,V,5.26,11.765
Sm2MoZnO6,1.10887,1.99935,1.3268,0.32485,0.92035,1.80355,1.2671,0.32345,0.88545,-3.31902,-5.62855,-0.57557,-0.78235,62,36,5.64371,8.24331,0.162,0.06367,1.17,1.905,2,4,Sm,Mo,Zn,8.06,16.655
Be2MoSnO6,1.1676,1.08065,1.3075,1.08065,1.0427,1.00365,1.26545,1.00365,1.00335,-6.07034,-7.57389,-1.4731,-1.80141,4,46,9.3227,7.21817,-0.52,0.9297,1.57,2.06,2,4,Be,Mo,Sn,6.02,17.41
Sr2NbNbO6,1.18255,1.96785,1.61065,1.96785,0.78965,1.81085,1.54905,1.81085,0.77365,-3.70916,-4.69109,-0.90065,-1.34325,38,41,5.69487,6.75885,0.05207,0.91741,0.95,1.6,2,4,Sr,Nb,Nb,3.75,19.91
Nd2BiCrO6,1.00994,2.00295,1.2242,0.35015,0.86875,1.89905,1.1781,0.34865,0.8442,-3.25222,-5.19776,-1.29622,-1.94093,60,53.5,5.525,7.02601,0.09749,0.8091,1.14,1.84,2,4,Nd,Bi,Cr,6.83,14.085
Y2NiPbO6,0.97138,1.78395,1.20035,0.95895,0.87525,1.63185,1.10645,1.63185,0.8369,-3.97745,-7.88873,-1.37282,-0.28458,39,55,6.21726,7.52828,0.30712,0.75694,1.22,2.12,3,3,Y,Ni,Pb,8.42,10.91
La2FePbO6,0.85372,2.03235,1.15265,1.19775,0.8926,1.88385,1.10665,1.88385,0.85545,-3.5912,-8.55072,-1.49016,-1.5791,57,54,5.5769,7.65957,0.55755,0.25498,1.1,2.08,3,3,La,Fe,Pb,6.56,10.76
Cs2PtTcO6,0.90303,2.51755,1.38315,2.51755,0.6727,0.81755,1.29595,0.94155,0.6669,-2.29006,-4.86962,-1.22595,-3.60406,55,60.5,3.89391,8.03911,0.47163,1.33855,0.79,2.09,1,5,Cs,Pt,Tc,1.43,25.815
Y2GeNiO6,1.25167,1.78395,1.14,0.95895,0.7566,1.63185,1.04425,1.63185,0.7205,-3.97745,-7.69456,-1.37282,-0.38416,39,30,6.21726,7.76966,0.30712,1.19492,1.22,1.96,3,3,Y,Ge,Ni,8.42,11.075
Ba2SnTcO6,1.03918,2.20615,1.2519,2.20615,1.01505,2.07185,1.2089,2.07185,0.9796,-3.35828,-7.35908,-1.33494,-2.78395,56,46.5,5.21166,7.23165,0.14463,0.83204,0.89,1.93,2,4,Ba,Sn,Tc,3.58,18.08
Nd2CrVO6,1.40979,2.00295,1.4863,0.35015,0.46285,1.89905,1.40355,0.34865,0.45965,-3.25222,-4.49916,-1.29622,-1.10216,60,23.5,5.525,6.75635,0.09749,0.60175,1.14,1.645,2,4,Nd,Cr,V,6.83,17.1
Ca2CrNiO6,1.11872,1.80815,1.40325,1.80815,0.3919,1.65875,1.2756,1.65875,0.3892,-3.94208,-4.27756,-0.93507,0.33486,20,26,6.11316,7.20319,0.02455,0.9165,1,1.785,2,4,Ca,Cr,Ni,4.44,16.27
Rb2NiWO6,0.83957,2.29415,1.39095,2.29415,0.56915,0.66735,1.2822,0.75565,0.56275,-2.49875,-4.35232,-1.23792,-0.1103,37,51,4.17713,7.75195,0.48592,0.98671,0.82,2.135,1,5,Rb,Ni,W,1.69,22.045
Pm2CdPtO6,1.03698,1.98305,1.29005,0.33615,0.9581,1.83585,1.20335,0.33605,0.92315,-3.30607,-5.67996,-1.25847,-2.32962,61,63,5.58187,8.97633,0.129,0.70255,1.13,1.985,3,3,Pm,Cd,Pt,6.83,15.405
La2NiRuO6,1.23324,2.03235,1.39575,1.19775,0.4902,1.88385,1.28255,1.88385,0.48785,-3.5912,-4.44521,-1.49016,-0.50037,57,36,5.5769,7.50019,0.55755,1.10177,1.1,2.055,3,3,La,Ni,Ru,6.56,20.095
Rb2RuWO6,1.19959,2.29415,1.43265,2.29415,0.7189,0.66735,1.3841,0.75565,0.71135,-2.49875,-4.91064,-1.23792,-2.31784,37,59,4.17713,7.61227,0.48592,0.93133,0.82,2.28,1,5,Rb,Ru,W,1.69,28.81
Li2GaMnO6,1.03574,1.61625,1.16475,1.61625,0.88595,0.19135,1.1068,0.19135,0.6871,-3.41248,-6.87604,-0.8909,-1.55084,3,28,5.39171,6.71667,0.61805,-0.1094,0.98,1.68,1,5,Li,Ga,Mn,1.76,13.005
Nd2TiZrO6,1.16291,2.00295,1.6541,0.35015,0.7077,1.89905,1.52925,0.34865,0.67895,-3.25222,-4.40238,-1.29622,-1.46043,60,31,5.525,6.73112,0.09749,0.25442,1.14,1.435,2,4,Nd,Ti,Zr,6.83,13.035
Y2GePdO6,1.12931,1.78395,1.2032,0.95895,0.8764,1.63185,1.10495,1.63185,0.8375,-3.97745,-8.28563,-1.37282,-2.57968,39,39,6.21726,8.11814,0.30712,0.89741,1.22,2.105,3,3,Y,Ge,Pd,8.42,13.23
Sm2CdVO6,1.0351,1.99935,1.3818,0.32485,0.8629,1.80355,1.3097,0.32345,0.8315,-3.31902,-5.17639,-0.57557,-0.86478,62,35.5,5.64371,7.87,0.162,-0.09617,1.17,1.66,3,3,Sm,Cd,V,8.06,10.765
Sm2BiRhO6,0.8761,1.99935,1.24865,0.32485,0.9525,1.80355,1.16345,0.32345,0.92595,-3.31902,-5.30723,-0.57557,-2.80041,62,64,5.64371,7.37221,0.162,1.04263,1.17,2.15,2,4,Sm,Bi,Rh,8.06,15.705
Ba2SnTaO6,0.87865,2.20615,1.26725,2.20615,1.0965,2.07185,1.22255,2.07185,1.05585,-3.35828,-7.6534,-1.33494,-2.07348,56,61.5,5.21166,7.44674,0.14463,0.7176,0.89,1.73,2,4,Ba,Sn,Ta,3.58,15.515
Nd2CrWO6,1.37124,2.00295,1.44015,0.35015,0.6206,1.89905,1.37715,0.34865,0.6127,-3.25222,-4.74299,-1.29622,-1.48262,60,49,5.525,7.31527,0.09749,0.74605,1.14,2.01,2,4,Nd,Cr,W,6.83,24.985
Pr2AgCrO6,1.03108,2.02475,1.39255,0.36565,0.888,1.89375,1.31975,0.36655,0.4927,-3.26203,-4.84044,-1.05666,-2.14812,59,35.5,5.4702,7.17137,0.10923,0.99016,1.13,1.795,3,3,Pr,Ag,Cr,6.38,14.555
Ca2CoZrO6,1.15716,1.80815,1.4801,1.80815,0.61365,1.65875,1.39175,1.65875,0.59575,-3.94208,-5.0345,-0.93507,-0.82068,20,33.5,6.11316,7.25757,0.02455,0.54778,1,1.605,2,4,Ca,Co,Zr,4.44,14.14
K2MnRhO6,1.09094,2.18365,1.40995,2.18365,0.5059,0.56995,1.2902,0.61135,0.5012,-2.62161,-4.77809,-1.15107,-2.07906,19,35,4.34066,7.44647,0.50146,0.31145,0.82,1.915,1,5,K,Mn,Rh,1.82,21.08
K2BiRhO6,0.49748,2.18365,1.24865,2.18365,0.9525,0.56995,1.16345,0.61135,0.92595,-2.62161,-5.30723,-1.15107,-2.80041,19,64,4.34066,7.37221,0.50146,1.04263,0.82,2.15,1,5,K,Bi,Rh,1.82,15.705
Mg2VZrO6,1.17088,1.35285,1.6142,1.35285,0.6773,1.26075,1.50195,1.26075,0.6559,-5.04225,-4.38991,-0.77042,-1.37197,12,31.5,7.64624,6.69016,-0.42,0.48048,1.31,1.48,2,4,Mg,V,Zr,5.26,14.4
Ca2NiWO6,1.05748,1.80815,1.39095,1.80815,0.56915,1.65875,1.2822,1.65875,0.56275,-3.94208,-4.35232,-0.93507,-0.1103,20,51,6.11316,7.75195,0.02455,0.98671,1,2.135,2,4,Ca,Ni,W,4.44,22.045
Li2FeWO6,1.30119,1.61625,1.34325,1.61625,0.5865,0.19135,1.2824,0.19135,0.5813,-3.41248,-5.01431,-0.8909,-1.40482,3,50,5.39171,7.88325,0.61805,0.48475,0.98,2.095,1,5,Li,Fe,W,1.76,21.895
Sm2CdFeO6,1.09584,1.99935,1.25105,0.32485,0.8093,1.80355,1.18195,0.32345,0.7796,-3.31902,-5.61678,-0.57557,-0.72229,62,37,5.64371,8.44814,0.162,-0.28338,1.17,1.76,2,4,Sm,Cd,Fe,8.06,9.785
Sr2GaPtO6,1.07435,1.96785,1.1738,1.96785,1.02185,1.81085,1.09915,1.81085,0.81895,-3.70916,-7.21015,-0.90065,-2.89826,38,54.5,5.69487,7.47907,0.05207,1.21315,0.95,2.045,2,4,Sr,Ga,Pt,3.75,15.285
Li2RuRuO6,1.25993,1.61625,1.43745,1.61625,0.63995,0.19135,1.38445,0.19135,0.63645,-3.41248,-5.00352,-0.8909,-2.70791,3,44,5.39171,7.3605,0.61805,1.04638,0.98,2.2,1,5,Li,Ru,Ru,1.76,26.86
Sm2AgRuO6,0.94668,1.99935,1.38505,0.32485,0.9863,1.80355,1.3267,0.32345,0.59135,-3.31902,-5.00808,-0.57557,-2.98335,62,45.5,5.64371,7.46837,0.162,1.17543,1.17,2.065,2,4,Sm,Ag,Ru,8.06,18.38
Mg2GePbO6,0.99243,1.35285,0.9863,1.35285,1.2914,1.26075,0.97005,1.26075,1.21815,-5.04225,-11.69639,-0.77042,-2.37592,12,57,7.64624,7.65806,-0.42,0.7947,1.31,2.17,2,4,Mg,Ge,Pb,5.26,8.655
Mg2BiPdO6,0.94545,1.35285,1.2382,1.35285,0.9371,1.26075,1.14385,1.26075,0.91125,-5.04225,-5.39816,-0.77042,-2.76413,12,64.5,7.64624,7.81118,-0.42,0.75225,1.31,2.11,2,4,Mg,Bi,Pd,5.26,13.3
K2RhSbO6,0.8834,2.18365,1.2558,2.18365,0.92185,0.56995,1.1667,0.61135,0.89305,-2.62161,-5.49079,-1.15107,-2.91351,19,48,4.34066,8.03364,0.50146,1.09515,0.82,2.165,1,5,K,Rh,Sb,1.82,15.69
Ba2CrPdO6,0.91039,2.20615,1.46645,2.20615,0.5117,2.07185,1.3363,2.07185,0.5062,-3.35828,-4.86864,-1.33494,-1.86066,56,35,5.21166,7.55167,0.14463,0.61899,0.89,1.93,2,4,Ba,Cr,Pd,3.58,18.425
Ba2GeNbO6,0.75232,2.20615,1.2683,2.20615,0.9812,2.07185,1.22845,2.07185,0.9377,-3.35828,-8.09666,-1.33494,-1.90938,56,36.5,5.21166,7.32914,0.14463,1.07504,0.89,1.805,2,4,Ba,Ge,Nb,3.58,14.365
Y2AlBiO6,0.98951,1.78395,1.0529,0.95895,1.35995,1.63185,1.0215,1.63185,1.1533,-3.97745,-6.75228,-1.37282,-2.31556,39,48,6.21726,6.63564,0.30712,0.6876,1.22,1.815,3,3,Y,Al,Bi,8.42,8.75
Y2SbTaO6,0.88271,1.78395,1.2353,0.95895,1.0342,1.63185,1.19375,1.63185,1.00315,-3.97745,-5.54253,-1.37282,-2.38062,39,62,6.21726,8.07898,0.30712,0.68526,1.22,1.775,3,3,Y,Sb,Ta,8.42,15.58
Ce2CuMnO6,1.27548,2.07805,1.26175,1.35245,0.80295,1.91635,1.19295,0.38175,0.3587,-3.34104,-5.00586,-1.39487,-2.36958,58,27,5.5386,7.58021,0.572,0.35789,1.12,1.725,3,3,Ce,Cu,Mn,4.78,15.235
La2PtTcO6,1.08253,2.03235,1.38315,1.19775,0.6727,1.88385,1.29595,1.88385,0.6669,-3.5912,-4.86962,-1.49016,-3.60406,57,60.5,5.5769,8.03911,0.55755,1.33855,1.1,2.09,3,3,La,Pt,Tc,6.56,25.815
Mg2RuZrO6,1.1824,1.35285,1.57285,1.35285,0.7561,1.26075,1.4759,1.26075,0.73405,-5.04225,-4.72663,-0.77042,-2.1425,12,42,7.64624,6.99731,-0.42,0.73984,1.31,1.765,2,4,Mg,Ru,Zr,5.26,20.335
La2CdWO6,1.03366,2.03235,1.33565,1.19775,1.02065,1.88385,1.2833,1.88385,0.98455,-3.5912,-5.42022,-1.49016,-1.24524,57,61,5.5769,8.42893,0.55755,0.04813,1.1,2.025,3,3,La,Cd,W,6.56,18.65
Y2TcVO6,1.38221,1.78395,1.4749,0.95895,0.5775,1.63185,1.4023,1.63185,0.57525,-3.97745,-4.36605,-1.37282,-2.13923,39,33,6.21726,6.93278,0.30712,0.53983,1.22,1.765,3,3,Y,Tc,V,8.42,21.175
La2WZnO6,1.14293,2.03235,1.2703,1.19775,0.9553,1.88385,1.2184,1.88385,0.91965,-3.5912,-5.62161,-1.49016,-1.17298,57,52,5.5769,8.62911,0.55755,0.09813,1.1,2.005,3,3,La,W,Zn,6.56,19.025
La2CdMoO6,1.03225,2.03235,1.39215,1.19775,0.9857,1.88385,1.332,1.88385,0.95035,-3.5912,-5.42716,-1.49016,-0.85461,57,45,5.5769,8.04313,0.55755,0.01367,1.1,1.925,3,3,La,Cd,Mo,6.56,16.28
Ca2TaZrO6,1.12963,1.80815,1.5843,1.80815,0.8539,1.65875,1.48135,1.65875,0.82725,-3.94208,-4.7202,-0.93507,-1.63387,20,56.5,6.11316,7.09185,0.02455,0.3782,1,1.415,2,4,Ca,Ta,Zr,4.44,18.02
Sr2NiPtO6,1.01878,1.96785,1.34535,1.96785,0.5066,1.81085,1.20225,1.81085,0.50135,-3.70916,-4.61206,-0.90065,-1.19468,38,53,5.69487,8.29935,0.05207,1.64113,0.95,2.095,2,4,Sr,Ni,Pt,3.75,18.8
Nd2PdSbO6,0.9896,2.00295,1.24535,0.35015,0.90645,1.89905,1.1471,0.34865,0.87835,-3.25222,-5.58172,-1.29622,-2.87723,60,48.5,5.525,8.47261,0.09749,0.80477,1.14,2.125,3,3,Nd,Pd,Sb,6.83,13.285
La2PtTiO6,1.08924,2.03235,1.4683,1.19775,0.60795,1.88385,1.3575,1.88385,0.59485,-3.5912,-4.84613,-1.49016,-2.72016,57,50,5.5769,7.89348,0.55755,1.10033,1.1,1.91,3,3,La,Pt,Ti,6.56,18.265
Be2NbRhO6,1.30182,1.08065,1.556,1.08065,0.70025,1.00365,1.44515,1.00365,0.68815,-6.07034,-4.78913,-1.4731,-2.04984,4,43,9.3227,7.10888,-0.52,1.03015,1.57,1.94,2,4,Be,Nb,Rh,6.02,21.18
La2AgRuO6,0.96452,2.03235,1.38505,1.19775,0.9863,1.88385,1.3267,1.88385,0.59135,-3.5912,-5.00808,-1.49016,-2.98335,57,45.5,5.5769,7.46837,0.55755,1.17543,1.1,2.065,3,3,La,Ag,Ru,6.56,18.38
Y2MnVO6,1.42429,1.78395,1.41935,0.95895,0.44165,1.63185,1.33785,1.63185,0.43995,-3.97745,-4.49955,-1.37282,-1.28427,39,24,6.21726,7.09011,0.30712,0.00383,1.22,1.59,3,3,Y,Mn,V,8.42,17.35
Ba2BiPtO6,0.74608,2.20615,1.1663,2.20615,0.98345,2.07185,1.10475,2.07185,0.95635,-3.35828,-5.53226,-1.33494,-3.47046,56,80.5,5.21166,8.12217,0.14463,1.53373,0.89,2.15,2,4,Ba,Bi,Pt,3.58,16.615
Mg2PbTiO6,1.00886,1.35285,1.3233,1.35285,0.9766,1.26075,1.2617,1.26075,0.9304,-5.04225,-8.12279,-0.77042,-1.81006,12,52,7.64624,7.1224,-0.42,0.21613,1.31,1.935,2,4,Mg,Pb,Ti,5.26,10.375
Ce2CuWO6,1.01933,2.07805,1.3164,1.35245,1.0014,1.91635,1.26525,0.38175,0.55195,-3.34104,-5.08023,-1.39487,-2.63262,58,51.5,5.5386,7.79521,0.572,1.02603,1.12,2.13,3,3,Ce,Cu,W,4.78,20.76
Sm2CoPbO6,1.00514,1.99935,1.1493,0.32485,0.88255,1.80355,1.1242,0.32345,0.8472,-3.31902,-8.75491,-0.57557,-1.1703,62,54.5,5.64371,7.64884,0.162,0.50949,1.17,2.105,3,3,Sm,Co,Pb,8.06,11.48
Ce2AgVO6,0.97147,2.07805,1.4264,1.35245,0.9075,1.91635,1.35275,0.38175,0.5132,-3.34104,-4.67136,-1.39487,-2.21282,58,35,5.5386,7.16121,0.572,0.91607,1.12,1.78,3,3,Ce,Ag,V,4.78,12.445
Sm2CoNbO6,1.20646,1.99935,1.4313,0.32485,0.57235,1.80355,1.3826,0.32345,0.56675,-3.31902,-5.15518,-0.57557,-0.70376,62,34,5.64371,7.31993,0.162,0.78984,1.17,1.74,2,4,Sm,Co,Nb,8.06,17.19
Sm2RhTcO6,1.25734,1.99935,1.4655,0.32485,0.64175,1.80355,1.35465,0.32345,0.6365,-3.31902,-4.64459,-0.57557,-2.93401,62,44,5.64371,7.28914,0.162,0.84745,1.17,2.09,2,4,Sm,Rh,Tc,8.06,24.905
Nd2AlCrO6,1.36914,2.00295,1.28115,0.35015,0.93455,1.89905,1.21395,0.34865,0.74825,-3.25222,-6.22275,-1.29622,-1.4121,60,18.5,5.525,6.37614,0.09749,0.55434,1.14,1.635,2,4,Nd,Al,Cr,6.83,13.875
Mg2CoSnO6,1.14408,1.35285,1.16305,1.35285,0.85625,1.26075,1.13295,1.26075,0.82435,-5.04225,-7.9677,-0.77042,-1.26029,12,38.5,7.64624,7.61246,-0.42,0.88717,1.31,1.92,2,4,Mg,Co,Sn,5.26,11.635
Be2CoSbO6,1.14276,1.08065,1.1311,1.08065,0.79395,1.00365,1.10415,1.00365,0.77165,-6.07034,-5.85683,-1.4731,-1.56743,4,39,9.3227,8.2447,-0.52,0.85483,1.57,1.965,2,4,Be,Co,Sb,6.02,11.7
La2FeGaO6,1.30396,2.03235,1.1348,1.19775,0.87305,1.88385,1.07775,1.88385,0.6754,-3.5912,-7.14697,-1.49016,-1.29093,57,28.5,5.5769,6.95089,0.55755,0.22722,1.1,1.82,3,3,La,Fe,Ga,6.56,9.665
Na2FeNiO6,0.97735,1.74615,1.30635,1.74615,0.3578,0.32095,1.18085,0.28665,0.3578,-3.18997,-4.54888,-0.88318,0.41266,11,27,5.13908,7.77117,0.54793,0.6552,0.93,1.87,1,5,Na,Fe,Ni,1.82,13.18
Na2NbRhO6,1.17753,1.74615,1.556,1.74615,0.70025,0.32095,1.44515,0.28665,0.68815,-3.18997,-4.78913,-0.88318,-2.04984,11,43,5.13908,7.10888,0.54793,1.03015,0.93,1.94,1,5,Na,Nb,Rh,1.82,21.18
Li2RuTcO6,1.29327,1.61625,1.43355,1.61625,0.6563,0.19135,1.37625,0.19135,0.6534,-3.41248,-4.70277,-0.8909,-2.90975,3,43.5,5.39171,7.23994,0.61805,0.79919,0.98,2.05,1,5,Li,Ru,Tc,1.76,27.11
Rb2BiBiO6,0.59322,2.29415,0.99595,2.29415,1.29415,0.66735,0.98565,0.75565,1.24925,-2.49875,-5.72728,-1.23792,-2.84439,37,83,4.17713,7.28552,0.48592,0.94236,0.82,2.02,1,5,Rb,Bi,Bi,1.69,8.96
Y2MoTaO6,1.31208,1.78395,1.5006,0.95895,0.78175,1.63185,1.43825,1.63185,0.77035,-3.97745,-4.91115,-1.37282,-1.41858,39,57.5,6.21726,7.321,0.30712,0.53523,1.22,1.83,3,3,Y,Mo,Ta,8.42,24.125
Nd2VVO6,1.37999,2.00295,1.52015,0.35015,0.48235,1.89905,1.43655,0.34865,0.48015,-3.25222,-4.33008,-1.29622,-1.16686,60,23,5.525,6.74619,0.09749,0.52766,1.14,1.63,3,3,Nd,V,V,6.83,14.99
Pr2MoNbO6,1.29647,2.02475,1.57575,0.36565,0.7588,1.89375,1.5151,0.36655,0.74575,-3.26203,-4.76136,-1.05666,-1.24488,59,41.5,5.4702,6.92564,0.10923,0.83237,1.13,1.88,3,3,Pr,Mo,Nb,6.38,22.965
Pr2CrMnO6,1.46034,2.02475,1.3855,0.36565,0.42215,1.89375,1.30485,0.36655,0.41945,-3.26203,-4.66862,-1.05666,-1.21957,59,24.5,5.4702,7.10027,0.10923,0.07792,1.13,1.605,4,2,Pr,Cr,Mn,6.38,19.46
La2SnWO6,1.10683,2.03235,1.251,1.19775,1.07765,1.88385,1.21675,1.88385,1.03755,-3.5912,-7.56695,-1.49016,-2.19204,57,62,5.5769,7.60397,0.55755,0.96417,1.1,2.16,3,3,La,Sn,W,6.56,19.78
Sr2SnWO6,0.65034,1.96785,1.251,1.96785,1.07765,1.81085,1.21675,1.81085,1.03755,-3.70916,-7.56695,-0.90065,-2.19204,38,62,5.69487,7.60397,0.05207,0.96417,0.95,2.16,2,4,Sr,Sn,W,3.75,19.78
Sr2AlSbO6,1.05237,1.96785,1.06005,1.96785,1.3293,1.81085,1.02475,1.81085,1.1204,-3.70916,-6.93584,-0.90065,-2.42866,38,32,5.69487,7.29708,0.05207,0.74012,0.95,1.83,2,4,Sr,Al,Sb,3.75,8.735
Nd2FeFeO6,1.45352,2.00295,1.25865,0.35015,0.37515,1.89905,1.18105,0.34865,0.37635,-3.25222,-5.21087,-1.29622,-0.88187,60,26,5.525,7.90247,0.09749,0.15324,1.14,1.83,3,3,Nd,Fe,Fe,6.83,13.03
Rb2CoCrO6,0.97762,2.29415,1.3522,2.29415,0.3992,0.66735,1.29335,0.75565,0.3995,-2.49875,-5.14375,-1.23792,-0.55087,37,25.5,4.17713,7.32376,0.48592,0.66905,0.82,1.77,1,5,Rb,Co,Cr,1.69,16.84
Nd2PdSnO6,1.048,2.00295,1.2773,0.35015,0.96875,1.89905,1.1759,0.34865,0.93105,-3.25222,-7.69259,-1.29622,-2.57009,60,48,5.525,7.84038,0.09749,0.83711,1.14,2.08,3,3,Nd,Pd,Sn,6.83,13.22
La2GaTiO6,1.22075,2.03235,1.30545,1.19775,0.95705,1.88385,1.2328,1.88385,0.75035,-3.5912,-6.71905,-1.49016,-1.52189,57,26.5,5.5769,6.41371,0.55755,0.18837,1.1,1.675,3,3,La,Ga,Ti,6.56,9.28
Ca2FeSnO6,1.12051,1.80815,1.1664,1.80815,0.8663,1.65875,1.1154,1.65875,0.8326,-3.94208,-7.76351,-0.93507,-1.66909,20,38,6.11316,7.62319,0.02455,0.63265,1,1.895,2,4,Ca,Fe,Sn,4.44,10.915
Y2NbSnO6,1.09717,1.78395,1.3424,0.95895,1.07355,1.63185,1.2994,1.63185,1.03125,-3.97745,-7.50362,-1.37282,-1.89978,39,45.5,6.21726,7.05138,0.30712,1.01474,1.22,1.78,3,3,Y,Nb,Sn,8.42,14.355
Ba2SnZrO6,0.99422,2.20615,1.3912,2.20615,1.11485,2.07185,1.30855,2.07185,1.06025,-3.35828,-7.38294,-1.33494,-2.0167,56,45,5.21166,6.98902,0.14463,0.77268,0.89,1.645,2,4,Ba,Sn,Zr,3.58,11.305
La2MoVO6,1.33704,2.03235,1.5305,1.19775,0.60515,1.88385,1.45885,1.88385,0.599,-3.5912,-4.58086,-1.49016,-1.15669,57,32.5,5.5769,6.91931,0.55755,0.6375,1.1,1.895,3,3,La,Mo,V,6.56,20.505
Rb2VWO6,1.19191,2.29415,1.474,2.29415,0.6401,0.66735,1.41015,0.75565,0.6332,-2.49875,-4.57392,-1.23792,-1.54732,37,48.5,4.17713,7.30511,0.48592,0.67197,0.82,1.995,1,5,Rb,V,W,1.69,22.875
Y2MnPbO6,0.75808,1.78395,1.1826,0.95895,0.9055,1.63185,1.1357,1.63185,0.86715,-3.97745,-8.27979,-1.37282,-1.83901,39,53.5,6.21726,7.42536,0.30712,-0.08164,1.22,1.94,3,3,Y,Mn,Pb,8.42,14.1
Pm2CdZrO6,0.90904,1.98305,1.47585,0.33615,1.05785,1.83585,1.3751,0.33605,1.00725,-3.30607,-5.23622,-1.25847,-1.06989,61,44,5.58187,7.81397,0.129,-0.14336,1.13,1.51,3,3,Pm,Cd,Zr,6.83,10.175
Ca2CrRhO6,1.19509,1.80815,1.4769,1.80815,0.5271,1.65875,1.3559,1.65875,0.5209,-3.94208,-4.7777,-0.93507,-1.89695,20,34.5,6.11316,7.11271,0.02455,0.90937,1,1.97,2,4,Ca,Cr,Rh,4.44,20.83
Y2AlCrO6,1.37075,1.78395,1.28115,0.95895,0.93455,1.63185,1.21395,1.63185,0.74825,-3.97745,-6.22275,-1.37282,-1.4121,39,18.5,6.21726,6.37614,0.30712,0.55434,1.22,1.635,3,3,Y,Al,Cr,8.42,13.875
Be2RhTcO6,1.28745,1.08065,1.4655,1.08065,0.64175,1.00365,1.35465,1.00365,0.6365,-6.07034,-4.64459,-1.4731,-2.93401,4,44,9.3227,7.28914,-0.52,0.84745,1.57,2.09,2,4,Be,Rh,Tc,6.02,24.905
Pr2VZrO6,1.21786,2.02475,1.6142,0.36565,0.6773,1.89375,1.50195,0.36655,0.6559,-3.26203,-4.38991,-1.05666,-1.37197,59,31.5,5.4702,6.69016,0.10923,0.48048,1.13,1.48,3,3,Pr,V,Zr,6.38,14.4
La2FeZnO6,1.22608,2.03235,1.1857,1.19775,0.74395,1.88385,1.11705,1.88385,0.7147,-3.5912,-5.81817,-1.49016,-0.65003,57,28,5.5769,8.64833,0.55755,-0.23338,1.1,1.74,3,3,La,Fe,Zn,6.56,10.16
Sr2MnPtO6,1.10669,1.96785,1.3276,1.96785,0.53685,1.81085,1.2315,1.81085,0.5316,-3.70916,-5.00312,-0.90065,-2.74911,38,51.5,5.69487,8.19643,0.05207,0.80255,0.95,1.915,2,4,Sr,Mn,Pt,3.75,21.99
Pr2PdTiO6,1.11852,2.02475,1.5402,0.36565,0.5616,1.89375,1.3966,0.36655,0.54975,-3.26203,-4.71203,-1.05666,-2.01382,59,34,5.4702,7.58248,0.10923,0.31884,1.13,1.87,4,2,Pr,Pd,Ti,6.38,14.95
