material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
K2FeTiO6,1.06369,2.18365,1.4293,2.18365,0.45915,0.56995,1.3361,0.61135,0.4513,-2.62161,-4.78295,-1.15107,-1.11283,19,24,4.34066,7.36529,0.50146,0.11439,0.82,1.685,1,5,K,Fe,Ti,1.82,12.645
Be2PtPtO6,1.10386,1.08065,1.33665,1.08065,0.67275,1.00365,1.22385,1.00365,0.66345,-6.07034,-5.33723,-1.4731,-4.09653,4,78,9.3227,8.95883,-0.52,2.12511,1.57,2.28,4,2,Be,Pt,Pt,6.02,24.27
Li2PtTaO6,1.25511,1.61625,1.3985,1.61625,0.75415,0.19135,1.3096,0.19135,0.74315,-3.41248,-5.16395,-0.8909,-2.89359,3,75.5,5.39171,8.2542,0.61805,1.22411,0.98,1.89,1,5,Li,Pt,Ta,1.76,23.25
La2NbSnO6,1.12002,2.03235,1.3424,1.19775,1.07355,1.88385,1.2994,1.88385,1.03125,-3.5912,-7.50362,-1.49016,-1.89978,57,45.5,5.5769,7.05138,0.55755,1.01474,1.1,1.78,3,3,La,Nb,Sn,6.56,14.355
Pr2AgCuO6,1.139,2.02475,1.2688,0.36565,1.2688,1.89375,1.20785,0.36655,0.43195,-3.26203,-5.17767,-1.05666,-3.29813,59,38,5.4702,7.65131,0.10923,1.27013,1.13,1.915,4,2,Pr,Ag,Cu,6.38,10.33
Mg2RhTaO6,1.26826,1.35285,1.48085,1.35285,0.7232,1.26075,1.3683,1.26075,0.71275,-5.04225,-4.93892,-0.77042,-2.22354,12,59,7.64624,7.50424,-0.42,0.73301,1.31,1.89,2,4,Mg,Rh,Ta,5.26,22.34
Ce2CdNbO6,0.9861,2.07805,1.42705,1.35245,1.01655,1.91635,1.36595,0.38175,0.97825,-3.34104,-5.35689,-1.39487,-0.95298,58,44.5,5.5386,7.87634,0.572,0.0987,1.12,1.645,3,3,Ce,Cd,Nb,4.78,13.225
Pm2RuTaO6,1.27549,1.98305,1.4489,0.33615,0.73775,1.83585,1.3899,0.33605,0.72965,-3.30607,-4.99709,-1.25847,-2.19928,61,58.5,5.58187,7.45504,0.129,0.68475,1.13,1.85,3,3,Pm,Ru,Ta,6.83,24.545
Be2MnNiO6,1.28628,1.08065,1.3363,1.08065,0.3707,1.00365,1.2099,1.00365,0.3695,-6.07034,-4.27795,-1.4731,0.15275,4,26.5,9.3227,7.53696,-0.52,0.31858,1.57,1.73,2,4,Be,Mn,Ni,6.02,16.52
Sm2BiCoO6,0.96457,1.99935,1.12395,0.32485,0.8246,1.80355,1.1009,0.32345,0.80455,-3.31902,-5.67327,-0.57557,-1.45433,62,55,5.64371,7.58326,0.162,0.80231,1.17,1.95,2,4,Sm,Bi,Co,8.06,11.715
Be2FeGeO6,1.34738,1.08065,1.0923,1.08065,0.77395,1.00365,1.04445,1.00365,0.73905,-6.07034,-8.35655,-1.4731,-1.67869,4,29,9.3227,7.90095,-0.52,0.69296,1.57,1.92,2,4,Be,Fe,Ge,6.02,10.925
Li2MoTcO6,1.33471,1.61625,1.48525,1.61625,0.7003,0.19135,1.4246,0.19135,0.6941,-3.41248,-4.61682,-0.8909,-2.12905,3,42.5,5.39171,7.10591,0.61805,0.64967,0.98,2.03,1,5,Li,Mo,Tc,1.76,26.69
Sr2AlMnO6,1.16171,1.96785,1.2142,1.96785,0.91335,1.81085,1.14825,1.81085,0.72855,-3.70916,-6.22314,-0.90065,-1.59421,38,19,5.69487,6.7099,0.05207,-0.04358,0.95,1.58,2,4,Sr,Al,Mn,3.75,14.125
