material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
705,2.87627337390269,320,0.325,1.226725,1.39373,0.9799575,0.8352675,-4.69721621130079,-1.54466423727389,-0.832582053690087,8.99350328987273,4.08046061809132
706,2.63390030717046,300,0.2,1.3122,1.46133,0.87299,0.78395,-4.39331196380458,-2.45327997978803,-0.792791826128387,8.65272902730962,3.92996860059062
707,2.1834778679263,275,0.25,1.2907,1.42385,0.889965,0.778665,-4.35313646413558,-1.92809648411489,-0.901868968357451,8.58338562003478,3.84075832583866
708,3.32984069785906,350,0.1,1.3499125,1.54064,0.849795,0.805275,-4.54105346258738,-3.5710374705791,-0.535820437001767,8.87710463865101,4.17064210082462
709,1.73598346145654,200,0.35,1.2477,1.34889,0.923915,0.768095,-4.27278546479757,-0.877729492768605,-1.12002325281558,8.44469880548509,3.66233777633476
710,1.65767440081958,200,0.15,1.36895,1.46981,0.784315,0.717535,-3.98421746717501,-2.5291934791626,-0.942495381689277,8.15081378930645,3.60415920380859
711,3.98395005363859,245,0.4,1.20505,1.32881,0.98391,0.80583,-4.50217196290771,-0.622107994874608,-1.07383197637067,8.71811058537706,3.8221393045032
712,5.36983626627282,215,0.55,1.115875,1.23667,1.085025,0.840165,-4.6961344613097,0.638953494735817,-1.21991691460489,8.90996141524714,3.84502225032113
713,2.2197126474753,305,0.1,1.372825,1.52179,0.80319,0.75867,-4.24902796499331,-3.27901197298503,-0.704027890565237,8.5057865192203,3.90087931432753
714,4.27229229181678,200,0.5,1.151475,1.26255,1.03937,0.81677,-4.55660196245928,0.293477997582104,-1.21435205149181,8.75080136441078,3.76822465645948
715,0.943813620578471,400,0.45,1.151825,1.31743,1.065415,0.865075,-4.86633945990743,-0.501267495870182,-0.950006490588774,9.16289995885244,4.10644673413183
716,3.68069245364586,320,0.1,1.365775,1.52759,0.81753,0.77301,-4.33888196425302,-3.36886597224474,-0.652271751007246,8.6200382482759,3.98388324863433
717,3.6297054862023,200,0.45,1.1765,1.29713,1.015225,0.814885,-4.55185046249842,-0.18677849846118,-1.13115297904174,8.76301890715782,3.81593296405804
